Date,Product,Category,Region,Sales
2026-01-01,Laptop,Electronics,Chennai,45000
2026-01-05,Mobile,Electronics,Coimbatore,30000
2026-01-10,Tablet,Electronics,Madurai,20000
2026-01-15,Headphones,Accessories,Chennai,10000
2026-01-20,Keyboard,Accessories,Coimbatore,5000
2026-02-01,Laptop,Electronics,Chennai,55000
2026-02-05,Mobile,Electronics,Madurai,35000
2026-02-10,Tablet,Electronics,Coimbatore,25000
2026-02-15,Headphones,Accessories,Chennai,12000
2026-02-20,Keyboard,Accessories,Madurai,6000
2026-03-01,Laptop,Electronics,Coimbatore,60000
2026-03-05,Mobile,Electronics,Chennai,40000
2026-03-10,Tablet,Electronics,Madurai,30000
2026-03-15,Headphones,Accessories,Coimbatore,15000
2026-03-20,Keyboard,Accessories,Chennai,7000
2026-04-01,Laptop,Electronics,Madurai,65000
2026-04-05,Mobile,Electronics,Coimbatore,45000
2026-04-10,Tablet,Electronics,Chennai,35000
2026-04-15,Headphones,Accessories,Madurai,18000
2026-04-20,Keyboard,Accessories,Coimbatore,8000
2026-05-01,Laptop,Electronics,Chennai,70000
2026-05-05,Mobile,Electronics,Madurai,50000
2026-05-10,Tablet,Electronics,Coimbatore,40000
2026-05-15,Headphones,Accessories,Chennai,20000
2026-05-20,Keyboard,Accessories,Madurai,9000
2026-06-01,Laptop,Electronics,Coimbatore,75000
2026-06-05,Mobile,Electronics,Chennai,55000
2026-06-10,Tablet,Electronics,Madurai,45000
2026-06-15,Headphones,Accessories,Coimbatore,22000
2026-06-20,Keyboard,Accessories,Chennai,10000
